DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
2005-12-12,1698.74,1701.27,1691.22,1698.35,380900600.0
2005-12-13,1695.14,1711.83,1693.9,1705.77,434412500.0
2005-12-14,1701.72,1707.74,1692.44,1698.98,450020500.0
2005-12-15,1704.41,1705.93,1688.07,1701.7,397691300.0
2005-12-16,1699.06,1704.38,1688.26,1688.68,968406000.0
2005-12-19,1689.88,1694.65,1663.56,1664.36,423059400.0
2005-12-20,1665.47,1672.47,1657.71,1665.07,407478900.0
2005-12-21,1669.46,1682.84,1665.34,1670.61,381427900.0
2005-12-22,1672.02,1685.49,1671.78,1683.35,350066900.0
2005-12-23,1687.4,1690.41,1679.28,1682.92,188244200.0
2005-12-27,1686.81,1693.58,1666.46,1668.37,253605700.0
2005-12-28,1670.34,1674.07,1662.09,1667.1,268971100.0
2005-12-29,1668.85,1671.32,1653.53,1655.36,236815200.0
2005-12-30,1646.84,1649.9,1641.86,1645.2,283451400.0
2006-01-03,1654.79,1686.59,1633.62,1679.93,484788600.0
2006-01-04,1683.87,1696.83,1681.85,1695.83,438856300.0
2006-01-05,1698.14,1707.71,1697.33,1705.29,431640500.0
2006-01-06,1718.58,1735.5,1710.86,1734.99,602671000.0
2006-01-09,1736.75,1745.12,1729.6,1741.9,459503400.0
2006-01-10,1732.38,1744.47,1730.25,1744.02,428843600.0
2006-01-11,1748.99,1761.46,1743.85,1758.24,527617200.0
2006-01-12,1754.76,1760.12,1742.85,1747.35,455429100.0
2006-01-13,1749.24,1750.27,1738.01,1746.78,441499400.0
2006-01-17,1734.35,1739.25,1728.62,1736.39,364123700.0
2006-01-18,1708.8,1726.28,1707.75,1716.62,581508200.0
2006-01-19,1725.85,1740.59,1720.56,1729.92,576324900.0
2006-01-20,1723.76,1727.02,1674.32,1676.38,553152600.0
2006-01-23,1679.84,1685.67,1670.47,1676.3,567088800.0
2006-01-24,1682.54,1695.41,1680.61,1686.22,759369800.0
2006-01-25,1694.84,1694.54,1670.33,1677.0,777664800.0
2006-01-26,1687.83,1694.63,1677.25,1690.49,900727200.0
2006-01-27,1699.17,1722.93,1697.88,1711.11,826400400.0
2006-01-30,1713.04,1720.88,1711.42,1713.45,700859800.0
2006-01-31,1714.39,1717.95,1700.34,1710.75,890561300.0
2006-02-01,1696.47,1714.28,1695.83,1713.02,834731800.0
2006-02-02,1709.93,1711.15,1684.67,1685.77,705661500.0
2006-02-03,1673.55,1676.18,1658.38,1664.53,811001400.0
2006-02-06,1665.02,1667.48,1650.99,1657.54,614504200.0
2006-02-07,1656.05,1663.99,1644.84,1651.84,766156600.0
2006-02-08,1666.38,1672.44,1654.03,1670.47,789645800.0
2006-02-09,1677.04,1681.92,1652.09,1654.08,774897300.0
2006-02-10,1654.61,1668.72,1637.26,1663.75,624527800.0
2006-02-13,1653.32,1655.81,1638.53,1645.83,528775000.0
2006-02-14,1648.96,1666.91,1643.17,1661.95,595384400.0
2006-02-15,1659.08,1676.14,1655.22,1673.15,665580900.0
2006-02-16,1678.74,1688.61,1672.93,1688.61,695784800.0
2006-02-17,1683.6,1684.21,1674.89,1675.21,763860800.0
2006-02-21,1676.44,1676.93,1650.94,1655.68,573748200.0
2006-02-22,1658.48,1684.15,1653.68,1677.52,663358500.0
2006-02-23,1675.23,1687.59,1669.81,1672.29,562014100.0
2006-02-24,1672.63,1678.15,1666.97,1676.5,490830600.0
2006-02-27,1681.46,1701.1,1680.43,1695.66,571034900.0
2006-02-28,1689.99,1695.35,1665.63,1670.57,772320400.0
2006-03-01,1676.8,1697.25,1672.6,1694.58,840953300.0
2006-03-02,1687.52,1699.72,1683.38,1693.78,713036400.0
2006-03-03,1684.82,1706.41,1682.71,1684.32,846885800.0
2006-03-06,1689.21,1691.11,1665.37,1669.94,714566000.0
2006-03-07,1666.61,1668.82,1652.59,1661.02,623290000.0
2006-03-08,1656.39,1668.06,1646.03,1660.35,718233200.0
2006-03-09,1666.56,1671.84,1644.86,1645.09,650645600.0
2006-03-10,1645.73,1657.31,1634.25,1648.23,570766300.0
2006-03-13,1656.19,1663.73,1650.94,1653.79,530455700.0
2006-03-14,1650.09,1682.93,1650.93,1681.15,629472800.0
2006-03-15,1687.23,1694.9,1680.06,1694.46,712719700.0
2006-03-16,1701.0,1703.11,1679.05,1679.05,752173600.0
2006-03-17,1681.22,1690.96,1676.63,1685.66,916309400.0
2006-03-20,1690.92,1695.04,1684.16,1688.98,647587000.0
2006-03-21,1688.38,1707.69,1671.2,1672.47,821002400.0
2006-03-22,1664.17,1678.73,1662.56,1676.32,742321300.0
2006-03-23,1672.92,1676.28,1660.82,1670.73,657046300.0
2006-03-24,1676.96,1687.56,1669.17,1679.81,603324200.0
2006-03-27,1679.38,1687.54,1678.05,1680.63,564561600.0
2006-03-28,1681.83,1694.6,1667.95,1673.03,627223200.0
2006-03-29,1676.32,1711.26,1674.88,1703.84,819588000.0
2006-03-30,1705.99,1720.2,1700.15,1708.68,676881700.0
